provider_name,provider_id,supported_products
TD Bank,td,"account_info,balances,customers,payments,statements,transactions,investments"
Capital One,capitalone,"payments,transactions,investments,account_info,balances,customers"
Transamerica,transamerica,"transactions,account_info,balances,investments"
PNC Bank,pnc,"investments,payments,transactions,account_info,balances,customers"
Wells Fargo,wellsfargo,"statements,transactions,account_info,balances,payments,investments,customers"
Oakstar,jackhenry:oakstar,"transactions,account_info,balances,payments,investments,customers"
Cogent Bank,fis:ecm063114661akoya,"transactions,account_info,balances,payments,investments,customers"
Caye International Bank,jackhenry:cayebank,"transactions,account_info,balances,payments,investments,customers"
IncredibleBank,jackhenry:rivervalleybank,"transactions,account_info,balances,payments,investments,customers"
LINKBANK,jackhenry:linkbank,"transactions,account_info,balances,payments,investments,customers"
Central Coast Federal Credit Union,jackhenry:centcoastfcu,"transactions,account_info,balances,payments,investments,customers"
The Seymour Bank,jackhenry:theseymourbank,"transactions,account_info,balances,payments,investments,customers"
TruPartner Credit Union,jackhenry:trupartnercu,"transactions,account_info,balances,payments,investments,customers"
Trustar Bank,jackhenry:trustarbank,"transactions,account_info,balances,payments,investments,customers"
Luana Savings Bank,jackhenry:luanasavingsbank,"transactions,account_info,balances,payments,investments,customers"
Chase,chase,"account_info,balances,customers,investments,payments,transactions"
Bank of Clarkson,jackhenry:bankofclarkson,"transactions,account_info,balances,payments,investments,customers"
Alpine Bank,jackhenry:alpinebank,"transactions,account_info,balances,payments,investments,customers"
First Heritage FCU,jackhenry:fhfcu,"transactions,account_info,balances,payments,investments,customers"
First Carolina Bank,jackhenry:firstcarolinabank,"transactions,account_info,balances,payments,investments,customers"
First State Bank of Blakely,jackhenry:fsbanks,"transactions,account_info,balances,payments,investments,customers"
First Bank & Trust- BANKeasy,jackhenry:bankeasy,"transactions,account_info,balances,payments,investments,customers"
CUSB Bank,jackhenry:cusb,"transactions,account_info,balances,payments,investments,customers"
Bank of Lexington,jackhenry:bankoflexington,"transactions,account_info,balances,payments,investments,customers"
Meadows Bank,jackhenry:meadowsbank,"transactions,account_info,balances,payments,investments,customers"
Citibank,citi,"investments,payments,statements,transactions,account_info,balances,customers"
Simmons,jackhenry:simmons,"transactions,account_info,balances,payments,investments,customers"
Eagle Bank,jackhenry:eaglebankmn,"transactions,account_info,balances,payments,investments,customers"
Freedom First Credit Union,jackhenry:freedomfirst,"transactions,account_info,balances,payments,investments,customers"
Fidelity Investments,fidelity,"account_info,balances,customers,investments,payments,statements,transactions"
Bank of Delmarva,jackhenry:bankofdelmarva,"transactions,account_info,balances,payments,investments,customers"
Bravera Bank,jackhenry:bravera,"transactions,account_info,balances,payments,investments,customers"
Bank of America,bankofamerica,"payments,transactions,statements,investments,account_info,balances,customers"
Extra Credit Union,jackhenry:extracreditunion,"transactions,account_info,balances,payments,investments,customers"
Local Bank,jackhenry:mylocal,"transactions,account_info,balances,payments,investments,customers"
FNB Coweta,jackhenry:fnbcoweta,"transactions,account_info,balances,payments,investments,customers"
Empower Retirement,empower,"account_info,balances,investments,transactions"
The Maries County Bank,jackhenry:mariescountybank,"transactions,account_info,balances,payments,investments,customers"
Hardin County Savings Bank,jackhenry:hardincsb,"transactions,account_info,balances,payments,investments,customers"
Heart of Louisiana,jackhenry:heartcu,"transactions,account_info,balances,payments,investments,customers"
Bank of Brookhaven,jackhenry:bankofbrookhaven,"transactions,account_info,balances,payments,investments,customers"
Grand Marais State Bank,jackhenry:grandmaraisstatebank,"transactions,account_info,balances,payments,investments,customers"
The Dart Bank,jackhenry:dart,"transactions,account_info,balances,payments,investments,customers"
HAB Bank,jackhenry:habbank,"transactions,account_info,balances,payments,investments,customers"
Burke & Herbert Bank,jackhenry:burkeandherbertbank,"transactions,account_info,balances,payments,investments,customers"
American National Bank,jackhenry:american,"transactions,account_info,balances,payments,investments,customers"
Cleveland State Bank,jackhenry:clevelandstate,"transactions,account_info,balances,payments,investments,customers"
Family Savings Credit Union,jackhenry:familysavingscu,"transactions,account_info,balances,payments,investments,customers"
Security Financial Bank,jackhenry:sfbank,"transactions,account_info,balances,payments,investments,customers"
Commercial Bank TN,jackhenry:cbtn,"transactions,account_info,balances,payments,investments,customers"
ChoiceOne,jackhenry:choiceone,"transactions,account_info,balances,payments,investments,customers"
First Bank Elk River,jackhenry:elkriver,"investments,payments,transactions,account_info,balances,customers"
Peapack-Gladstone Bank,jackhenry:pgbank,"transactions,account_info,balances,payments,investments,customers"
Sugar River Bank,jackhenry:sugarriverbank,"transactions,account_info,balances,payments,investments,customers"
Bank of Cleveland,jackhenry:bankofcleveland,"transactions,account_info,balances,payments,investments,customers"
America's Credit Union,jackhenry:americascu,"transactions,account_info,balances,payments,investments,customers"
Arthur State Bank,jackhenry:arthurstatebank,"transactions,account_info,balances,payments,investments,customers"
Bread Savings,jackhenry:breadfinancial,"transactions,account_info,balances,payments,investments,customers"
Signet FCU,jackhenry:signetfcu,"transactions,account_info,balances,payments,investments,customers"
Citizens-Farmers Bank,jackhenry:citizensfarmersbank,"transactions,account_info,balances,payments,investments,customers"
